hex_id,collision_date,collision_year,collision_month,collision_dayofweek,collision_hour,accident_count,ttv_split,geometry,node_street_count,node_crossing,node_give_way,node_milestone,node_mini_roundabout,node_motorway_junction,node_stop,node_traffic_signals,node_traffic_signals;crossing,node_trailhead,node_turning_circle,node_turning_loop,hex_neighbors_0_ids,hex_neighbors_1_ids_x,hex_neighbors_2_ids_x,neighbor_1_node_street_count,neighbor_1_node_crossing,neighbor_1_node_give_way,neighbor_1_node_milestone,neighbor_1_node_mini_roundabout,neighbor_1_node_motorway_junction,neighbor_1_node_stop,neighbor_1_node_traffic_signals,neighbor_1_node_trailhead,neighbor_1_node_turning_circle,neighbor_1_node_turning_loop,neighbor_1_count,neighbor_2_node_street_count,neighbor_2_node_crossing,neighbor_2_node_give_way,neighbor_2_node_milestone,neighbor_2_node_mini_roundabout,neighbor_2_node_motorway_junction,neighbor_2_node_stop,neighbor_2_node_traffic_signals,neighbor_2_node_trailhead,neighbor_2_node_turning_circle,neighbor_2_node_turning_loop,neighbor_2_count,neighbor_1_node_street_count_ave,neighbor_1_node_crossing_ave,neighbor_1_node_give_way_ave,neighbor_1_node_milestone_ave,neighbor_1_node_mini_roundabout_ave,neighbor_1_node_motorway_junction_ave,neighbor_1_node_stop_ave,neighbor_1_node_traffic_signals_ave,neighbor_1_node_trailhead_ave,neighbor_1_node_turning_circle_ave,neighbor_1_node_turning_loop_ave,neighbor_2_node_street_count_ave,neighbor_2_node_crossing_ave,neighbor_2_node_give_way_ave,neighbor_2_node_milestone_ave,neighbor_2_node_mini_roundabout_ave,neighbor_2_node_motorway_junction_ave,neighbor_2_node_stop_ave,neighbor_2_node_traffic_signals_ave,neighbor_2_node_trailhead_ave,neighbor_2_node_turning_circle_ave,neighbor_2_node_turning_loop_ave,CITY_NAME,CITY_TYPE,CITY_LABEL,FEAT_TYPE,DISTRICT,edge_speed_kph_max,edge_speek_kph_min,edge_lanes_max,edge_lanes_min,edge_motorway_id,edge_motorway_link_id,edge_living_street_id,edge_bridge_id,edge_oneway_id,edge_tunnel_id,valid_accident_location_filter,collisions_neighbor_0_2014,collisions_neighbor_0_2015,collisions_neighbor_0_2016,collisions_neighbor_0_2017,collisions_neighbor_0_2018,collisions_neighbor_0_2019,collisions_neighbor_0_2020,collisions_neighbor_1_2014,collisions_neighbor_1_2015,collisions_neighbor_1_2016,collisions_neighbor_1_2017,collisions_neighbor_1_2018,collisions_neighbor_1_2019,collisions_neighbor_1_2020,collisions_neighbor_2_2014,collisions_neighbor_2_2015,collisions_neighbor_2_2016,collisions_neighbor_2_2017,collisions_neighbor_2_2018,collisions_neighbor_2_2019,collisions_neighbor_2_2020,hex_neighbors_1_ids_y,hex_neighbors_2_ids_y,curr_yr_coll_cnt,prev1_yr_coll_cnt,prev2_yr_coll_cnt,prev1_yr_coll_neighbor1,prev1_yr_coll_neighbor1_ave,prev1_yr_coll_neighbor2,prev1_yr_coll_neighbor2_ave,prev2_yr_coll_neighbor1,prev2_yr_coll_neighbor1_ave,prev2_yr_coll_neighbor2,prev2_yr_coll_neighbor2_ave,station,name,date,awnd,prcp,tavg,tmax,tmin,wdf2,amenities_restaurant_cnt,amenities_school_cnt,amenities_bar_cnt,amenities_college_cnt
8829124825fffff,2014-11-14,2014,11,4,12,1,Test,"POLYGON ((-13237251.48392736 4040304.6700257068, -13237896.791539775 4040496.2790417373, -13238038.454177365 4041156.718106358, -13237534.768473485 4041625.5870409445, -13236889.406290408 4041433.96245576, -13236747.784386441 4040773.4845088203, -13237251.48392736 4040304.6700257068))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829124825fffff'],"['882912491bfffff', '8829124953fffff', '8829124821fffff', '8829124825fffff', '8829124827fffff', '882912482dfffff', '8829124919fffff']","['882912491bfffff', '8829124821fffff', '882912482dfffff', '8829124953fffff', '8829124867fffff', '8829124827fffff', '8829124957fffff', '88291249c9fffff', '882912495bfffff', '8829124913fffff', '8829124829fffff', '8829124919fffff', '88291249cdfffff', '8829124825fffff', '8829124911fffff', '882912482bfffff', '8829124951fffff', '882912491dfffff', '8829124823fffff']",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,True,False,False,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,"['8829124919fffff', '8829124825fffff', '8829124827fffff', '882912491bfffff', '882912482dfffff', '8829124953fffff', '8829124821fffff']","['8829124919fffff', '8829124825fffff', '88291249cdfffff', '882912482bfffff', '882912482dfffff', '8829124951fffff', '8829124953fffff', '8829124913fffff', '882912491bfffff', '8829124829fffff', '882912495bfffff', '882912491dfffff', '8829124867fffff', '8829124823fffff', '8829124827fffff', '8829124911fffff', '88291249c9fffff', '8829124821fffff', '8829124957fffff']",1.0,0.0,0.0,,,,,,,,,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2014-11-14,4.92,0.0,64,69.0,61.0,260.0,,,,
8829124825fffff,2018-09-19,2018,9,2,10,1,Test,"POLYGON ((-13237251.48392736 4040304.6700257068, -13237896.791539775 4040496.2790417373, -13238038.454177365 4041156.718106358, -13237534.768473485 4041625.5870409445, -13236889.406290408 4041433.96245576, -13236747.784386441 4040773.4845088203, -13237251.48392736 4040304.6700257068))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829124825fffff'],"['882912491bfffff', '8829124953fffff', '8829124821fffff', '8829124825fffff', '8829124827fffff', '882912482dfffff', '8829124919fffff']","['882912491bfffff', '8829124821fffff', '882912482dfffff', '8829124953fffff', '8829124867fffff', '8829124827fffff', '8829124957fffff', '88291249c9fffff', '882912495bfffff', '8829124913fffff', '8829124829fffff', '8829124919fffff', '88291249cdfffff', '8829124825fffff', '8829124911fffff', '882912482bfffff', '8829124951fffff', '882912491dfffff', '8829124823fffff']",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,True,False,False,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,"['8829124919fffff', '8829124825fffff', '8829124827fffff', '882912491bfffff', '882912482dfffff', '8829124953fffff', '8829124821fffff']","['8829124919fffff', '8829124825fffff', '88291249cdfffff', '882912482bfffff', '882912482dfffff', '8829124951fffff', '8829124953fffff', '8829124913fffff', '882912491bfffff', '8829124829fffff', '882912495bfffff', '882912491dfffff', '8829124867fffff', '8829124823fffff', '8829124827fffff', '8829124911fffff', '88291249c9fffff', '8829124821fffff', '8829124957fffff']",1.0,0.0,0.0,1.0,0.1428571428571428,2.0,0.1052631578947368,1.0,0.1428571428571428,1.0,0.0526315789473684,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2018-09-19,5.59,0.0,67,74.0,61.0,270.0,,,,
882912482dfffff,2016-08-21,2016,8,6,0,1,Test,"POLYGON ((-13237613.501043243 4039175.442797916, -13238258.754090067 4039367.036255876, -13238400.419697348 4040027.434933963, -13237896.791539775 4040496.2790417373, -13237251.48392736 4040304.6700257068, -13237109.859042676 4039644.2324636527, -13237613.501043243 4039175.442797916))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912482dfffff'],"['882912495bfffff', '8829124821fffff', '8829124953fffff', '8829124825fffff', '8829124867fffff', '8829124829fffff', '882912482dfffff']","['882912491bfffff', '8829124821fffff', '882912482dfffff', '8829124805fffff', '8829124865fffff', '8829124953fffff', '8829124867fffff', '8829124827fffff', '8829124957fffff', '8829124959fffff', '882912495bfffff', '8829124829fffff', '8829124919fffff', '8829124825fffff', '882912482bfffff', '8829124951fffff', '8829124863fffff', '8829124861fffff', '8829124823fffff']",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,True,False,False,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,"['8829124867fffff', '8829124825fffff', '882912482dfffff', '8829124829fffff', '882912495bfffff', '8829124953fffff', '8829124821fffff']","['8829124919fffff', '8829124805fffff', '8829124825fffff', '882912482bfffff', '882912482dfffff', '8829124951fffff', '8829124865fffff', '8829124953fffff', '8829124959fffff', '882912491bfffff', '8829124829fffff', '882912495bfffff', '8829124863fffff', '8829124867fffff', '8829124823fffff', '8829124827fffff', '8829124861fffff', '8829124821fffff', '8829124957fffff']",1.0,0.0,0.0,,,1.0,0.0526315789473684,1.0,0.1428571428571428,1.0,0.0526315789473684,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2016-08-21,8.5,0.0,67,74.0,63.0,270.0,,,,
882912482dfffff,2017-09-24,2017,9,6,14,1,Train,"POLYGON ((-13237613.501043243 4039175.442797916, -13238258.754090067 4039367.036255876, -13238400.419697348 4040027.434933963, -13237896.791539775 4040496.2790417373, -13237251.48392736 4040304.6700257068, -13237109.859042676 4039644.2324636527, -13237613.501043243 4039175.442797916))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912482dfffff'],"['882912495bfffff', '8829124821fffff', '8829124953fffff', '8829124825fffff', '8829124867fffff', '8829124829fffff', '882912482dfffff']","['882912491bfffff', '8829124821fffff', '882912482dfffff', '8829124805fffff', '8829124865fffff', '8829124953fffff', '8829124867fffff', '8829124827fffff', '8829124957fffff', '8829124959fffff', '882912495bfffff', '8829124829fffff', '8829124919fffff', '8829124825fffff', '882912482bfffff', '8829124951fffff', '8829124863fffff', '8829124861fffff', '8829124823fffff']",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,True,False,False,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,"['8829124867fffff', '8829124825fffff', '882912482dfffff', '8829124829fffff', '882912495bfffff', '8829124953fffff', '8829124821fffff']","['8829124919fffff', '8829124805fffff', '8829124825fffff', '882912482bfffff', '882912482dfffff', '8829124951fffff', '8829124865fffff', '8829124953fffff', '8829124959fffff', '882912491bfffff', '8829124829fffff', '882912495bfffff', '8829124863fffff', '8829124867fffff', '8829124823fffff', '8829124827fffff', '8829124861fffff', '8829124821fffff', '8829124957fffff']",1.0,1.0,0.0,1.0,0.1428571428571428,1.0,0.0526315789473684,,,1.0,0.0526315789473684,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2017-09-24,7.16,0.0,67,80.0,58.0,260.0,,,,
882912482dfffff,2018-04-23,2018,4,0,13,1,Train,"POLYGON ((-13237613.501043243 4039175.442797916, -13238258.754090067 4039367.036255876, -13238400.419697348 4040027.434933963, -13237896.791539775 4040496.2790417373, -13237251.48392736 4040304.6700257068, -13237109.859042676 4039644.2324636527, -13237613.501043243 4039175.442797916))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912482dfffff'],"['882912495bfffff', '8829124821fffff', '8829124953fffff', '8829124825fffff', '8829124867fffff', '8829124829fffff', '882912482dfffff']","['882912491bfffff', '8829124821fffff', '882912482dfffff', '8829124805fffff', '8829124865fffff', '8829124953fffff', '8829124867fffff', '8829124827fffff', '8829124957fffff', '8829124959fffff', '882912495bfffff', '8829124829fffff', '8829124919fffff', '8829124825fffff', '882912482bfffff', '8829124951fffff', '8829124863fffff', '8829124861fffff', '8829124823fffff']",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,True,False,False,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,"['8829124867fffff', '8829124825fffff', '882912482dfffff', '8829124829fffff', '882912495bfffff', '8829124953fffff', '8829124821fffff']","['8829124919fffff', '8829124805fffff', '8829124825fffff', '882912482bfffff', '882912482dfffff', '8829124951fffff', '8829124865fffff', '8829124953fffff', '8829124959fffff', '882912491bfffff', '8829124829fffff', '882912495bfffff', '8829124863fffff', '8829124867fffff', '8829124823fffff', '8829124827fffff', '8829124861fffff', '8829124821fffff', '8829124957fffff']",1.0,1.0,1.0,1.0,0.1428571428571428,2.0,0.1052631578947368,1.0,0.1428571428571428,1.0,0.0526315789473684,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2018-04-23,5.82,0.0,61,68.0,54.0,260.0,,,,
8829124845fffff,2016-06-26,2016,6,6,20,1,Train,"POLYGON ((-13239847.676835256 4035510.9547955496, -13240492.73550901 4035702.4332467867, -13240634.450674653 4036362.6718181926, -13240131.066498527 4036831.4708498837, -13239485.953266406 4036639.976899184, -13239344.278773341 4035979.6994199213, -13239847.676835256 4035510.9547955496))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829124845fffff'],"['8829124b13fffff', '882912486bfffff', '882912484dfffff', '8829124841fffff', '8829124869fffff', '8829124847fffff', '8829124845fffff']","['8829124841fffff', '882912486dfffff', '8829124b1bfffff', '8829124869fffff', '8829124b11fffff', '8829124849fffff', '8829124b13fffff', '882912480dfffff', '882912484bfffff', '8829124809fffff', '8829124843fffff', '882912486bfffff', '8829124b17fffff', '8829124847fffff', '882912484dfffff', '8829124a27fffff', '8829124863fffff', '8829124861fffff', '8829124845fffff']",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,5.0,5.0,5.0,6.0,"['8829124869fffff', '882912484dfffff', '882912486bfffff', '8829124845fffff', '8829124841fffff', '8829124847fffff', '8829124b13fffff']","['8829124a27fffff', '882912486bfffff', '8829124847fffff', '8829124b1bfffff', '8829124809fffff', '8829124b11fffff', '882912486dfffff', '8829124b17fffff', '882912484bfffff', '8829124843fffff', '8829124849fffff', '882912480dfffff', '8829124841fffff', '8829124b13fffff', '8829124869fffff', '8829124863fffff', '882912484dfffff', '8829124845fffff', '8829124861fffff']",1.0,0.0,0.0,1.0,0.1428571428571428,2.0,0.1052631578947368,,,,,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2016-06-26,7.61,0.0,69,73.0,65.0,260.0,,,,
8829124845fffff,2018-02-04,2018,2,6,10,1,Test,"POLYGON ((-13239847.676835256 4035510.9547955496, -13240492.73550901 4035702.4332467867, -13240634.450674653 4036362.6718181926, -13240131.066498527 4036831.4708498837, -13239485.953266406 4036639.976899184, -13239344.278773341 4035979.6994199213, -13239847.676835256 4035510.9547955496))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829124845fffff'],"['8829124b13fffff', '882912486bfffff', '882912484dfffff', '8829124841fffff', '8829124869fffff', '8829124847fffff', '8829124845fffff']","['8829124841fffff', '882912486dfffff', '8829124b1bfffff', '8829124869fffff', '8829124b11fffff', '8829124849fffff', '8829124b13fffff', '882912480dfffff', '882912484bfffff', '8829124809fffff', '8829124843fffff', '882912486bfffff', '8829124b17fffff', '8829124847fffff', '882912484dfffff', '8829124a27fffff', '8829124863fffff', '8829124861fffff', '8829124845fffff']",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,49.4,49.4,,,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,5.0,5.0,5.0,6.0,"['8829124869fffff', '882912484dfffff', '882912486bfffff', '8829124845fffff', '8829124841fffff', '8829124847fffff', '8829124b13fffff']","['8829124a27fffff', '882912486bfffff', '8829124847fffff', '8829124b1bfffff', '8829124809fffff', '8829124b11fffff', '882912486dfffff', '8829124b17fffff', '882912484bfffff', '8829124843fffff', '8829124849fffff', '882912480dfffff', '8829124841fffff', '8829124b13fffff', '8829124869fffff', '8829124863fffff', '882912484dfffff', '8829124845fffff', '8829124861fffff']",1.0,0.0,1.0,5.0,0.7142857142857143,5.0,0.2631578947368421,4.0,0.5714285714285714,4.0,0.2105263157894736,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2018-02-04,6.04,0.0,62,76.0,53.0,270.0,,,,
882912484dfffff,2015-11-01,2015,11,6,1,1,Train,"POLYGON ((-13240209.339948406 4034381.9980194676, -13240854.344068874 4034573.4609822943, -13240996.062177677 4035233.65913938, -13240492.73550901 4035702.4332467867, -13239847.676835256 4035510.9547955496, -13239705.99938802 4034850.7177289836, -13240209.339948406 4034381.9980194676))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912484dfffff'],"['8829124b13fffff', '882912484dfffff', '8829124841fffff', '8829124a27fffff', '8829124b1bfffff', '8829124849fffff', '8829124845fffff']","['8829124a35fffff', '8829124841fffff', '8829124b1bfffff', '8829124869fffff', '8829124b11fffff', '8829124849fffff', '8829124b19fffff', '8829124b13fffff', '882912484bfffff', '8829124a21fffff', '8829124843fffff', '8829124a23fffff', '882912486bfffff', '8829124a25fffff', '8829124b17fffff', '8829124847fffff', '882912484dfffff', '8829124a27fffff', '8829124845fffff']",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,88.5,49.4,5.0,4.0,False,False,False,True,False,False,True,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,5.0,5.0,5.0,6.0,"['882912484dfffff', '8829124b1bfffff', '8829124a27fffff', '8829124845fffff', '8829124b13fffff', '8829124849fffff', '8829124841fffff']","['8829124a27fffff', '8829124a23fffff', '8829124a35fffff', '882912486bfffff', '8829124b19fffff', '8829124847fffff', '8829124a21fffff', '8829124b1bfffff', '8829124a25fffff', '8829124b11fffff', '8829124b17fffff', '882912484bfffff', '8829124843fffff', '8829124849fffff', '8829124b13fffff', '8829124841fffff', '8829124869fffff', '882912484dfffff', '8829124845fffff']",1.0,0.0,0.0,,,,,,,,,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2015-11-01,4.03,0.0,69,80.0,60.0,270.0,,,,
882912484dfffff,2016-07-11,2016,7,0,19,1,Validate,"POLYGON ((-13240209.339948406 4034381.9980194676, -13240854.344068874 4034573.4609822943, -13240996.062177677 4035233.65913938, -13240492.73550901 4035702.4332467867, -13239847.676835256 4035510.9547955496, -13239705.99938802 4034850.7177289836, -13240209.339948406 4034381.9980194676))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912484dfffff'],"['8829124b13fffff', '882912484dfffff', '8829124841fffff', '8829124a27fffff', '8829124b1bfffff', '8829124849fffff', '8829124845fffff']","['8829124a35fffff', '8829124841fffff', '8829124b1bfffff', '8829124869fffff', '8829124b11fffff', '8829124849fffff', '8829124b19fffff', '8829124b13fffff', '882912484bfffff', '8829124a21fffff', '8829124843fffff', '8829124a23fffff', '882912486bfffff', '8829124a25fffff', '8829124b17fffff', '8829124847fffff', '882912484dfffff', '8829124a27fffff', '8829124845fffff']",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,88.5,49.4,5.0,4.0,False,False,False,True,False,False,True,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,5.0,5.0,5.0,6.0,"['882912484dfffff', '8829124b1bfffff', '8829124a27fffff', '8829124845fffff', '8829124b13fffff', '8829124849fffff', '8829124841fffff']","['8829124a27fffff', '8829124a23fffff', '8829124a35fffff', '882912486bfffff', '8829124b19fffff', '8829124847fffff', '8829124a21fffff', '8829124b1bfffff', '8829124a25fffff', '8829124b11fffff', '8829124b17fffff', '882912484bfffff', '8829124843fffff', '8829124849fffff', '8829124b13fffff', '8829124841fffff', '8829124869fffff', '882912484dfffff', '8829124845fffff']",2.0,1.0,0.0,1.0,0.1428571428571428,2.0,0.1052631578947368,,,,,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2016-07-11,8.05,0.0,70,77.0,64.0,270.0,,,,
882912484dfffff,2016-11-13,2016,11,6,10,1,Train,"POLYGON ((-13240209.339948406 4034381.9980194676, -13240854.344068874 4034573.4609822943, -13240996.062177677 4035233.65913938, -13240492.73550901 4035702.4332467867, -13239847.676835256 4035510.9547955496, -13239705.99938802 4034850.7177289836, -13240209.339948406 4034381.9980194676))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['882912484dfffff'],"['8829124b13fffff', '882912484dfffff', '8829124841fffff', '8829124a27fffff', '8829124b1bfffff', '8829124849fffff', '8829124845fffff']","['8829124a35fffff', '8829124841fffff', '8829124b1bfffff', '8829124869fffff', '8829124b11fffff', '8829124849fffff', '8829124b19fffff', '8829124b13fffff', '882912484bfffff', '8829124a21fffff', '8829124843fffff', '8829124a23fffff', '882912486bfffff', '8829124a25fffff', '8829124b17fffff', '8829124847fffff', '882912484dfffff', '8829124a27fffff', '8829124845fffff']",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unincorporated,Unincorporated,CO,Land,3,88.5,49.4,5.0,4.0,False,False,False,True,False,False,True,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,5.0,5.0,5.0,6.0,"['882912484dfffff', '8829124b1bfffff', '8829124a27fffff', '8829124845fffff', '8829124b13fffff', '8829124849fffff', '8829124841fffff']","['8829124a27fffff', '8829124a23fffff', '8829124a35fffff', '882912486bfffff', '8829124b19fffff', '8829124847fffff', '8829124a21fffff', '8829124b1bfffff', '8829124a25fffff', '8829124b11fffff', '8829124b17fffff', '882912484bfffff', '8829124843fffff', '8829124849fffff', '8829124b13fffff', '8829124841fffff', '8829124869fffff', '882912484dfffff', '8829124845fffff']",2.0,1.0,0.0,1.0,0.1428571428571428,2.0,0.1052631578947368,,,,,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2016-11-13,6.26,0.0,71,86.0,61.0,260.0,,,,
